"MacroTrends Data Download"
"SNOW - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-09-17,230.7600,241.5000,215.2396,227.5400,11859324
2020-09-18,235.0000,249.0000,218.5900,240.0000,7466146
2020-09-21,230.0000,241.4999,218.6000,228.8500,5518498
2020-09-22,238.5000,239.0000,225.1501,235.1600,3880708
2020-09-23,243.5000,254.8000,213.0000,217.3900,5822218
2020-09-24,213.5100,230.9500,208.5500,226.7400,4815398
2020-09-25,228.1200,236.2600,227.9001,229.0000,1981684
2020-09-28,235.9300,253.0000,235.9300,250.4100,4220107
2020-09-29,255.0000,259.7000,246.0300,259.1300,5290804
2020-09-30,261.5000,278.2600,243.0500,251.0000,5409355
2020-10-01,255.2500,255.9100,238.0000,243.4600,3972980
2020-10-02,232.4400,243.1200,227.0000,227.1000,2716224
2020-10-05,231.9700,243.4297,231.2006,240.0000,2356813
2020-10-06,244.1800,247.9900,239.0001,245.1000,1566313
2020-10-07,245.5000,252.3600,245.2900,246.0000,1681148
2020-10-08,250.0000,250.0000,239.9900,240.1900,1340756
2020-10-09,242.0000,243.6950,235.4701,238.0000,1726289
2020-10-12,250.3200,251.5000,243.0000,243.9700,3134515
2020-10-13,247.0000,250.5000,245.2700,249.6100,1459342
2020-10-14,251.9900,252.0000,239.0000,243.1800,1707783
2020-10-15,236.0300,241.3550,231.4600,241.0000,1843599
2020-10-16,242.0000,245.9900,241.5901,242.5200,1015986
2020-10-19,245.0000,249.8600,243.0000,246.7800,1529792
2020-10-20,247.0000,252.5000,243.3000,251.7700,1730834
2020-10-21,251.6500,271.2900,250.3500,270.6100,3353731
2020-10-22,269.0100,301.0000,263.0000,297.0900,5171241
2020-10-23,290.3400,294.0000,262.2400,265.0500,5599294
2020-10-26,266.0700,271.0000,244.6300,251.3900,4035159
2020-10-27,254.8900,273.0000,253.9900,266.7700,3487758
2020-10-28,258.5000,272.5300,254.0100,272.4400,2090378
2020-10-29,273.8000,276.2200,264.1600,265.8800,1135777
2020-10-30,261.0300,262.6300,241.5000,250.0200,2397642
2020-11-02,254.1000,260.8250,247.0000,252.2300,1300494
2020-11-03,256.0000,264.5400,254.0501,262.1300,1372417
2020-11-04,270.7900,274.8700,262.2000,263.9100,1390559
2020-11-05,271.4800,271.6900,258.9000,263.2100,1266026
2020-11-06,263.4400,270.0000,259.2000,265.0000,985131
2020-11-09,263.9900,265.9500,239.0000,239.8400,2957839
2020-11-10,249.6500,249.9400,229.9800,235.6800,2263531
2020-11-11,241.7100,246.8900,237.5000,240.7600,1440041
2020-11-12,243.8000,244.2030,232.1600,235.3800,1741175
2020-11-13,237.1100,241.6250,232.3000,234.8000,1487766
2020-11-16,234.0000,244.1800,230.2500,241.8500,1793812
2020-11-17,245.0000,251.5600,243.7300,248.0300,1624519
2020-11-18,253.0000,262.2700,250.7350,260.5400,2197446
2020-11-19,259.2100,268.5700,253.2500,264.0000,1588576
2020-11-20,269.0000,273.1650,264.0000,266.0000,1591960
2020-11-23,267.1000,274.1500,259.1000,274.1500,1350732
2020-11-24,275.1000,283.3900,267.4900,282.1000,1733277
2020-11-25,277.7800,309.7699,277.3000,303.0200,2906587
2020-11-27,310.0000,334.6200,309.7300,328.7900,3293763
2020-11-30,338.3800,342.0000,312.1300,325.8400,3544739
2020-12-01,321.6300,326.0000,302.2800,305.6400,2651727
2020-12-02,293.7900,306.7400,288.0000,292.6900,3498392
2020-12-03,290.5400,343.0000,289.0000,339.8900,11038712
2020-12-04,335.4000,395.8000,334.0000,387.7000,18530543
2020-12-07,393.5000,404.4300,371.0000,388.9600,8097902
2020-12-08,388.8000,429.0000,386.2500,390.0000,11468025
2020-12-09,393.4000,406.9900,361.0123,371.2600,8944368
2020-12-10,362.0000,390.0700,360.6100,373.2800,4883828
2020-12-11,360.4000,369.1000,347.2600,353.9600,6350508
2020-12-14,352.4900,357.9799,327.1600,329.1500,6951512
2020-12-15,308.9800,329.0000,303.5400,328.6100,20305546
2020-12-16,328.4300,338.8900,320.0900,329.9700,6419086
2020-12-17,333.8200,337.1000,323.4933,325.5400,3711145
2020-12-18,332.7700,346.8800,324.8800,334.2500,8089874
2020-12-21,329.0000,350.0000,329.0000,349.8500,5865127
2020-12-22,349.8900,359.5500,338.0100,341.1600,4684845
2020-12-23,341.1600,343.3999,328.2600,331.6500,2731795
2020-12-24,334.1000,338.0000,321.3000,323.0400,2191153
2020-12-28,324.8700,327.7900,302.6700,302.8100,4739710
2020-12-29,305.2500,314.4100,298.1300,304.0500,4817397
2020-12-30,304.0000,307.3500,297.7500,300.9200,2621683
2020-12-31,299.7000,301.5605,280.7300,281.4000,5297151
2021-01-04,285.4100,290.8000,274.4400,278.2400,3939916
2021-01-05,280.6200,293.4900,279.3000,283.8300,5193911
2021-01-06,279.9900,283.6394,266.4100,268.0200,5715229
2021-01-07,272.5900,304.9000,267.7000,304.2000,16532431
2021-01-08,315.0000,325.7200,298.0000,300.1000,9086749
2021-01-11,295.0000,312.1700,287.9900,293.1900,4515989
2021-01-12,298.0000,299.6600,286.2056,293.3500,3252573
2021-01-13,295.0000,306.8600,294.1500,296.5500,2863334
2021-01-14,305.0000,313.4800,300.0100,303.7600,4582199
2021-01-15,306.8200,308.6700,290.6500,291.3000,3205372
2021-01-19,293.7500,295.0000,284.0400,286.2100,3138422
2021-01-20,289.0000,289.1000,280.8800,281.8800,2253171
2021-01-21,288.0000,289.5800,282.6000,286.3200,1890367
2021-01-22,284.2900,287.4800,279.0000,285.6800,2050616
2021-01-25,292.4500,296.8100,276.0000,287.2500,3746832
2021-01-26,286.6400,289.2400,280.9800,280.9800,1941864
2021-01-27,277.0000,285.7500,264.0000,266.2000,4370397
2021-01-28,277.0200,283.0000,268.4234,273.1300,2428212
2021-01-29,271.0000,277.7784,267.5000,272.4500,2171133
2021-02-01,275.1000,283.2000,273.3800,282.0000,2202656
2021-02-02,289.7100,310.6600,286.5000,300.7100,7208500
2021-02-03,309.0400,318.8800,300.5400,304.6400,4621150
2021-02-04,309.8000,310.8800,299.0300,303.6100,2188702
2021-02-05,306.0700,307.0700,299.6400,306.0500,1753617
2021-02-08,308.7100,317.8951,302.0300,304.5000,2385997
2021-02-09,304.5000,323.2300,302.2750,314.2900,4340871
2021-02-10,324.8000,327.4100,300.0000,305.9100,3419061
2021-02-11,305.2500,312.3000,296.3800,298.7300,2321719
2021-02-12,299.0000,303.3445,292.3400,299.4700,1513132
2021-02-16,304.7000,304.9876,290.1600,294.5500,1984404
2021-02-17,289.0000,292.8200,283.2650,288.7800,1707420
2021-02-18,285.0000,296.9500,281.3054,289.7800,2253910
2021-02-19,292.4900,298.0000,287.5900,290.0000,2301312
2021-02-22,287.4600,287.7700,268.0000,269.6500,3806254
2021-02-23,260.4000,271.0000,242.9800,269.0800,4013468
2021-02-24,268.8800,275.2500,262.3600,273.5200,2098150
2021-02-25,270.1800,275.4900,255.2500,260.3400,2881507
2021-02-26,264.2200,266.6600,254.3100,259.5400,2589538
2021-03-01,269.3000,273.7100,263.2900,272.1700,2742281
2021-03-02,270.0000,280.1000,270.0000,270.6000,2822394
2021-03-03,270.0000,271.4000,246.3600,247.0300,6090793
2021-03-04,255.8200,279.4500,236.0000,249.0000,15861741
2021-03-05,250.6400,250.7300,217.8197,239.7300,20136500
2021-03-08,235.0000,241.1600,212.2900,213.9900,8289519
2021-03-09,221.8400,235.4700,219.1600,230.0200,6271307
2021-03-10,229.3200,235.3500,221.4300,227.1100,7863222
2021-03-11,235.0000,241.5479,233.2000,237.8100,5721458
2021-03-12,233.8300,235.6500,227.7500,230.0000,3733008
2021-03-15,230.9800,241.6000,230.7500,238.7600,6433654
2021-03-16,239.0000,242.5000,229.0100,232.1400,5554926
2021-03-17,223.0000,233.3300,223.0000,230.3000,3928072
2021-03-18,227.6300,227.7100,216.1000,216.7000,3957811
2021-03-19,216.5000,223.2900,215.2600,220.8200,5682393
2021-03-22,220.8200,224.0700,220.2700,220.7500,2731041
2021-03-23,224.0000,229.2500,218.1730,220.0000,3543871
2021-03-24,221.0000,223.6200,208.6000,208.6000,4578010
2021-03-25,206.3900,218.7100,205.0700,216.9500,4402552
2021-03-26,220.0000,235.0000,219.0000,235.0000,8971342
2021-03-29,230.5500,236.2200,221.0400,223.4900,4368641
2021-03-30,221.3500,224.7700,216.2600,222.0700,3493334
2021-03-31,222.7200,234.0600,222.4500,229.2800,3673368
2021-04-01,234.9500,237.5900,232.0200,236.7900,2897823
2021-04-05,237.8000,238.5000,229.5000,232.3200,2233071
2021-04-06,232.0000,239.4100,229.5300,236.0100,2430924
2021-04-07,234.5100,240.0000,232.3800,233.9700,2070005
2021-04-08,237.2000,242.8700,233.0100,233.7500,4662309
2021-04-09,233.5800,234.6600,223.7300,226.8900,5347806
2021-04-12,225.0000,234.1591,223.7900,233.3900,2374328
2021-04-13,234.5000,239.7800,232.3300,238.0800,3028992
2021-04-14,240.0000,243.4900,228.4000,229.1400,3493064
2021-04-15,232.9900,236.8000,232.1000,236.3800,2260379
2021-04-16,235.7300,235.9600,229.0000,232.7400,1573177
2021-04-19,230.0000,233.9000,225.4600,229.0700,1912899
2021-04-20,229.0000,231.2500,220.5000,225.2200,2867201
2021-04-21,222.0000,231.8700,221.6771,231.3900,1452972
2021-04-22,233.3300,239.0000,229.2300,231.4400,2044404
2021-04-23,231.4400,236.5800,231.4400,235.6400,1327608
2021-04-26,235.7300,241.0600,234.5700,237.7500,2003778
2021-04-27,239.8000,241.2200,234.1900,238.1700,2078282
2021-04-28,236.0000,239.7200,234.1000,236.6400,1345926
2021-04-29,236.5000,237.8058,227.0990,229.5500,2412703
2021-04-30,226.7500,235.9900,226.0000,231.5900,1892540
2021-05-03,232.3000,232.8150,222.8800,223.6900,1936705
2021-05-04,220.4100,220.7000,213.9000,218.4000,2651842
2021-05-05,220.2400,218.7700,211.8900,213.7900,1540725
2021-05-06,210.0000,211.8300,192.4100,199.8400,8316512
2021-05-07,206.4900,214.3200,205.2150,206.0400,5970652
2021-05-10,202.2000,204.6300,192.6100,193.8200,5656888
2021-05-11,189.6600,204.2700,187.1000,201.4600,5001301
2021-05-12,196.0000,196.4000,189.7700,191.3800,5554113
2021-05-13,193.0000,196.5000,184.7100,188.2400,3813439
2021-05-14,196.0000,210.8800,194.6200,209.9900,7823433
2021-05-17,208.4500,217.8000,205.4500,212.6500,4651191
2021-05-18,219.4400,227.1300,214.7500,223.5300,6392739
2021-05-19,214.8200,229.0000,213.6800,228.8100,4635271
2021-05-20,229.7600,236.1700,227.4300,230.5600,6316677
2021-05-21,230.8500,235.2500,230.7900,233.3900,3785272
2021-05-24,235.0000,236.9400,231.7800,233.9200,2471449
2021-05-25,236.5300,236.7000,228.5734,229.9600,2858935
2021-05-26,231.0000,236.3600,228.3000,235.2500,6224713
2021-05-27,226.5000,246.4750,220.0000,245.1500,17702187
2021-05-28,238.2000,244.2200,237.0000,238.0300,5758251
2021-06-01,239.5000,243.5600,235.5100,240.8100,3769873
2021-06-02,240.7400,248.2000,239.6000,243.1800,4014205
2021-06-03,240.0000,243.2300,233.3600,238.4300,3596275
2021-06-04,240.7300,244.8600,237.5000,242.5600,2627699
2021-06-07,244.6500,252.5500,240.0050,250.5700,7381125
2021-06-08,252.9900,255.9900,246.6450,250.3200,3615990
2021-06-09,250.3500,255.0000,245.7200,247.0100,4212909
2021-06-10,247.3000,250.7000,243.5417,248.8000,3049183
2021-06-11,239.0000,242.5300,233.7500,240.6000,7118229
2021-06-14,242.7000,248.1000,241.2700,244.2000,3853080
2021-06-15,244.7200,247.3580,239.5154,241.4100,2657073
2021-06-16,239.8100,243.7954,235.5822,238.8400,5123926
2021-06-17,234.5000,248.6800,231.5200,245.5300,6602499
2021-06-18,246.5700,250.0000,243.0500,249.4000,6411737
2021-06-21,247.2200,250.0000,241.6500,248.2900,4791849
2021-06-22,247.0000,252.8200,245.3600,249.2900,5901531
2021-06-23,248.1000,250.1000,244.4700,249.0000,2691548
2021-06-24,250.0000,253.3200,247.3700,251.2500,3386809
2021-06-25,252.0000,253.2700,247.0200,247.0900,9229912
2021-06-28,248.4300,249.4800,243.6200,247.6700,3080325
2021-06-29,248.0000,251.0000,245.0800,245.8000,2291143
2021-06-30,244.2900,245.1700,238.6400,241.8000,3022875
2021-07-01,240.4200,241.6400,235.7161,236.7500,2348940
2021-07-02,239.5000,241.2100,236.9000,237.2400,1333382
2021-07-06,235.0500,241.0900,234.7800,239.0500,1982063
2021-07-07,242.0000,249.2400,241.0300,248.7500,3686641
2021-07-08,243.1400,254.0000,241.2300,250.3000,3832710
2021-07-09,250.0000,272.0000,249.8200,269.4900,9860993
2021-07-12,267.5000,269.3500,258.8800,267.0600,4558607
2021-07-13,266.4400,275.0000,263.7200,264.6200,6237129
2021-07-14,268.9100,269.6765,252.0600,252.5400,3281178
2021-07-15,254.5900,257.6300,247.1993,251.0000,3340576
2021-07-16,251.5600,253.4200,245.5000,250.8200,2253249
2021-07-19,245.9400,254.3500,242.0100,252.2800,2338250
2021-07-20,253.0000,259.1899,248.6300,256.2700,1658936
2021-07-21,255.6700,260.5699,251.1400,259.3000,1938339
2021-07-22,261.9000,269.1700,261.3600,267.3000,2978555
2021-07-23,267.3400,271.6100,264.2700,264.9200,2633690
2021-07-26,262.6900,269.7500,262.2100,268.8000,2486018
2021-07-27,268.5000,269.3600,255.0000,262.6800,2947518
2021-07-28,262.5100,270.9800,261.1155,269.3600,1711543
2021-07-29,270.0000,274.9900,267.3500,268.2600,2205397
2021-07-30,265.0000,272.8800,264.1000,265.7200,1764641
2021-08-02,266.0400,271.0900,261.5401,268.2900,1911579
2021-08-03,272.0000,285.8400,271.2400,284.5800,7739066
2021-08-04,278.0600,278.9300,269.9000,273.3700,4784732
2021-08-05,270.6500,278.4700,268.4100,276.9900,2538755
2021-08-06,275.7100,278.4028,269.6900,277.4800,3018191
2021-08-09,277.7600,281.9800,276.5001,280.0000,2734703
2021-08-10,278.0000,280.4800,272.6600,274.4900,2509519
2021-08-11,276.1000,277.9900,270.7300,275.8700,1745780
2021-08-12,278.6900,287.9800,275.3000,286.2800,4199252
